Sexo;Titulación;Sueldo mensual neto en 2019;Total
Ambos sexos;Literatura;Menos de 700 euros;11,1
Ambos sexos;Literatura;De 700 a 999 euros;13,6
Ambos sexos;Literatura;De 1.000 a 1.499 euros;22,1
Ambos sexos;Literatura;De 1.500 a 1.999 euros;41,6
Ambos sexos;Literatura;De 2.000 a 2.499 euros;10,0
Ambos sexos;Literatura;De 2.500 a 2.999 euros;1,6
Ambos sexos;Literatura;De 3.000 euros en adelante;0,0
Ambos sexos;Lenguas modernas y aplicadas;Menos de 700 euros;8,5
Ambos sexos;Lenguas modernas y aplicadas;De 700 a 999 euros;3,7
Ambos sexos;Lenguas modernas y aplicadas;De 1.000 a 1.499 euros;43,6
Ambos sexos;Lenguas modernas y aplicadas;De 1.500 a 1.999 euros;19,9
Ambos sexos;Lenguas modernas y aplicadas;De 2.000 a 2.499 euros;13,4
Ambos sexos;Lenguas modernas y aplicadas;De 2.500 a 2.999 euros;0,0
Ambos sexos;Lenguas modernas y aplicadas;De 3.000 euros en adelante;10,9
Ambos sexos;Economía;Menos de 700 euros;2,7
Ambos sexos;Economía;De 700 a 999 euros;7,2
Ambos sexos;Economía;De 1.000 a 1.499 euros;34,7
Ambos sexos;Economía;De 1.500 a 1.999 euros;29,8
Ambos sexos;Economía;De 2.000 a 2.499 euros;16,6
Ambos sexos;Economía;De 2.500 a 2.999 euros;4,8
Ambos sexos;Economía;De 3.000 euros en adelante;4,2
Ambos sexos;Política y gestión pública;Menos de 700 euros;11,2
Ambos sexos;Política y gestión pública;De 700 a 999 euros;8,2
Ambos sexos;Política y gestión pública;De 1.000 a 1.499 euros;31,3
Ambos sexos;Política y gestión pública;De 1.500 a 1.999 euros;19,4
Ambos sexos;Política y gestión pública;De 2.000 a 2.499 euros;15,0
Ambos sexos;Política y gestión pública;De 2.500 a 2.999 euros;7,0
Ambos sexos;Política y gestión pública;De 3.000 euros en adelante;7,9
Ambos sexos;Relaciones internacionales;Menos de 700 euros;4,5
Ambos sexos;Relaciones internacionales;De 700 a 999 euros;2,3
Ambos sexos;Relaciones internacionales;De 1.000 a 1.499 euros;25,9
Ambos sexos;Relaciones internacionales;De 1.500 a 1.999 euros;36,6
Ambos sexos;Relaciones internacionales;De 2.000 a 2.499 euros;15,5
Ambos sexos;Relaciones internacionales;De 2.500 a 2.999 euros;3,3
Ambos sexos;Relaciones internacionales;De 3.000 euros en adelante;11,9
Ambos sexos;Psicología;Menos de 700 euros;11,4
Ambos sexos;Psicología;De 700 a 999 euros;16,1
Ambos sexos;Psicología;De 1.000 a 1.499 euros;44,0
Ambos sexos;Psicología;De 1.500 a 1.999 euros;16,1
Ambos sexos;Psicología;De 2.000 a 2.499 euros;8,0
Ambos sexos;Psicología;De 2.500 a 2.999 euros;2,4
Ambos sexos;Psicología;De 3.000 euros en adelante;2,0
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;Menos de 700 euros;8,9
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;De 700 a 999 euros;4,1
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;De 1.000 a 1.499 euros;26,2
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;De 1.500 a 1.999 euros;39,5
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;De 2.000 a 2.499 euros;20,3
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;De 2.500 a 2.999 euros;0,6
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;De 3.000 euros en adelante;0,3
Ambos sexos;Criminología;Menos de 700 euros;6,5
Ambos sexos;Criminología;De 700 a 999 euros;13,2
Ambos sexos;Criminología;De 1.000 a 1.499 euros;21,6
Ambos sexos;Criminología;De 1.500 a 1.999 euros;19,1
Ambos sexos;Criminología;De 2.000 a 2.499 euros;16,8
Ambos sexos;Criminología;De 2.500 a 2.999 euros;9,1
Ambos sexos;Criminología;De 3.000 euros en adelante;13,7
Ambos sexos;Geografía;Menos de 700 euros;14,5
Ambos sexos;Geografía;De 700 a 999 euros;10,8
Ambos sexos;Geografía;De 1.000 a 1.499 euros;36,5
Ambos sexos;Geografía;De 1.500 a 1.999 euros;23,9
Ambos sexos;Geografía;De 2.000 a 2.499 euros;12,5
Ambos sexos;Geografía;De 2.500 a 2.999 euros;0,0
Ambos sexos;Geografía;De 3.000 euros en adelante;1,9
Ambos sexos;Sociología e Igualdad de género;Menos de 700 euros;3,9
Ambos sexos;Sociología e Igualdad de género;De 700 a 999 euros;12,6
Ambos sexos;Sociología e Igualdad de género;De 1.000 a 1.499 euros;41,6
Ambos sexos;Sociología e Igualdad de género;De 1.500 a 1.999 euros;23,9
Ambos sexos;Sociología e Igualdad de género;De 2.000 a 2.499 euros;14,6
Ambos sexos;Sociología e Igualdad de género;De 2.500 a 2.999 euros;1,8
Ambos sexos;Sociología e Igualdad de género;De 3.000 euros en adelante;1,7
Ambos sexos;Comunicación;Menos de 700 euros;7,2
Ambos sexos;Comunicación;De 700 a 999 euros;6,7
Ambos sexos;Comunicación;De 1.000 a 1.499 euros;44,1
Ambos sexos;Comunicación;De 1.500 a 1.999 euros;18,3
Ambos sexos;Comunicación;De 2.000 a 2.499 euros;16,8
Ambos sexos;Comunicación;De 2.500 a 2.999 euros;3,5
Ambos sexos;Comunicación;De 3.000 euros en adelante;3,5
Ambos sexos;Periodismo;Menos de 700 euros;8,4
Ambos sexos;Periodismo;De 700 a 999 euros;10,7
Ambos sexos;Periodismo;De 1.000 a 1.499 euros;47,8
Ambos sexos;Periodismo;De 1.500 a 1.999 euros;20,3
Ambos sexos;Periodismo;De 2.000 a 2.499 euros;8,6
Ambos sexos;Periodismo;De 2.500 a 2.999 euros;3,0
Ambos sexos;Periodismo;De 3.000 euros en adelante;1,2
Ambos sexos;Información y documentación;Menos de 700 euros;11,0
Ambos sexos;Información y documentación;De 700 a 999 euros;15,7
Ambos sexos;Información y documentación;De 1.000 a 1.499 euros;49,6
Ambos sexos;Información y documentación;De 1.500 a 1.999 euros;15,5
Ambos sexos;Información y documentación;De 2.000 a 2.499 euros;3,9
Ambos sexos;Información y documentación;De 2.500 a 2.999 euros;1,6
Ambos sexos;Información y documentación;De 3.000 euros en adelante;2,8
Ambos sexos;Financiera y actuarial;Menos de 700 euros;1,6
Ambos sexos;Financiera y actuarial;De 700 a 999 euros;0,0
Ambos sexos;Financiera y actuarial;De 1.000 a 1.499 euros;19,2
Ambos sexos;Financiera y actuarial;De 1.500 a 1.999 euros;34,6
