Sexo;Titulación;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;Comunicación;Formación profesional de grado medio / bachillerato;7,7
Ambos sexos;Comunicación;Formación profesional básica;4,8
Ambos sexos;Comunicación;ESO, EGB, etc ...;0,0
Ambos sexos;Periodismo;Doctorado;1,6
Ambos sexos;Periodismo;Máster;18,3
Ambos sexos;Periodismo;Título universitario (excepto doctorado o máster);56,7
Ambos sexos;Periodismo;Formación profesional de grado superior;8,7
Ambos sexos;Periodismo;Formación profesional de grado medio / bachillerato;7,5
Ambos sexos;Periodismo;Formación profesional básica;3,5
Ambos sexos;Periodismo;ESO, EGB, etc ...;3,8
Ambos sexos;Información y documentación;Doctorado;0,9
Ambos sexos;Información y documentación;Máster;7,2
Ambos sexos;Información y documentación;Título universitario (excepto doctorado o máster);56,6
Ambos sexos;Información y documentación;Formación profesional de grado superior;12,1
Ambos sexos;Información y documentación;Formación profesional de grado medio / bachillerato;7,4
Ambos sexos;Información y documentación;Formación profesional básica;5,6
Ambos sexos;Información y documentación;ESO, EGB, etc ...;10,1
Ambos sexos;Financiera y actuarial;Doctorado;0,0
Ambos sexos;Financiera y actuarial;Máster;10,8
Ambos sexos;Financiera y actuarial;Título universitario (excepto doctorado o máster);70,4
Ambos sexos;Financiera y actuarial;Formación profesional de grado superior;8,4
Ambos sexos;Financiera y actuarial;Formación profesional de grado medio / bachillerato;5,9
Ambos sexos;Financiera y actuarial;Formación profesional básica;0,0
Ambos sexos;Financiera y actuarial;ESO, EGB, etc ...;4,4
Ambos sexos;Finanzas y contabilidad;Doctorado;0,0
Ambos sexos;Finanzas y contabilidad;Máster;13,0
Ambos sexos;Finanzas y contabilidad;Título universitario (excepto doctorado o máster);55,3
Ambos sexos;Finanzas y contabilidad;Formación profesional de grado superior;20,9
Ambos sexos;Finanzas y contabilidad;Formación profesional de grado medio / bachillerato;0,4
Ambos sexos;Finanzas y contabilidad;Formación profesional básica;3,2
Ambos sexos;Finanzas y contabilidad;ESO, EGB, etc ...;7,1
Ambos sexos;Administración y empresa;Doctorado;0,5
Ambos sexos;Administración y empresa;Máster;17,9
Ambos sexos;Administración y empresa;Título universitario (excepto doctorado o máster);56,0
Ambos sexos;Administración y empresa;Formación profesional de grado superior;13,7
Ambos sexos;Administración y empresa;Formación profesional de grado medio / bachillerato;6,3
Ambos sexos;Administración y empresa;Formación profesional básica;2,3
